Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2015-08-28,590.95,,,,22.15,,0.0,0.0
2015-08-31,603.15,,,,12.2,,0.0,0.0
2015-09-01,580.15,,,,23.0,,0.0,0.0
2015-09-02,584.25,,,,4.1,,0.0,0.0
2015-09-03,582.55,,,,1.7,,0.0,0.0
2015-09-04,578.35,,,,4.2,,0.0,0.0
2015-09-08,587.75,,,,9.4,,0.0,0.0
2015-09-09,579.2,,,,8.55,,0.0,0.0
2015-09-10,593.65,,,,14.45,,0.0,0.0
2015-09-11,592.1,,,,1.55,,0.0,0.0
2015-09-14,588.95,,,,3.15,,0.0,0.0
2015-09-15,601.6,,,,12.65,,0.0,0.0
2015-09-16,613.1,,,,11.5,,0.0,0.0
2015-09-17,600.3,613.1,604.45,604.45,12.8,613.1,3.0,0.0
2015-09-18,611.9,,,,11.6,,0.0,0.0
2015-09-21,617.15,,,,5.25,,0.0,0.0
2015-09-22,611.8,,,,5.35,,0.0,0.0
2015-09-23,646.5,,,,34.7,,0.0,0.0
2015-09-24,657.3,,,,10.8,,0.0,0.0
2015-09-25,668.55,,,,11.25,,0.0,0.0
2015-09-28,652.65,,,,15.9,,0.0,0.0
2015-09-29,658.6,,,,5.95,,0.0,0.0
2015-09-30,651.95,,,,6.65,,0.0,0.0
2015-10-01,680.4,,,,28.45,,0.0,0.0
2015-10-02,698.55,,,,18.15,,0.0,0.0
2015-10-05,690.3,,,,8.25,,0.0,0.0
2015-10-06,708.8,,,,18.5,,0.0,0.0
2015-10-07,700.55,,,,8.25,,0.0,0.0
2015-10-08,704.25,,,,3.7,,0.0,0.0
2015-10-09,709.3,,,,5.05,,0.0,0.0
2015-10-12,695.6,,,,13.7,,0.0,0.0
2015-10-13,686.45,,,,9.15,,0.0,0.0
2015-10-14,701.95,,,,15.5,,0.0,0.0
2015-10-15,706.05,,,,4.1,,0.0,0.0
2015-10-16,700.55,,,,5.5,,0.0,0.0
2015-10-19,689.2,,,,11.35,,0.0,0.0
2015-10-20,695.9,,,,6.7,,0.0,0.0
2015-10-21,678.2,,,,17.7,,0.0,0.0
2015-10-22,686.6,,,,8.4,,0.0,0.0
2015-10-23,694.85,,,,8.25,,0.0,0.0
2015-10-26,684.95,,,,9.9,,0.0,0.0
2015-10-27,679.8,,,,5.15,,0.0,0.0
2015-10-28,687.25,,,,7.45,,0.0,0.0
2015-10-29,671.95,,,,15.3,,0.0,0.0
2015-10-30,678.35,,,,6.4,,0.0,0.0
2015-11-02,651.55,,,,26.8,,0.0,0.0
2015-11-03,645.35,,,,6.2,,0.0,0.0
2015-11-04,624.8,,,,20.55,,0.0,0.0
2015-11-05,607.7,,,,17.1,,0.0,0.0
2015-11-06,614.5,,,,6.8,,0.0,0.0
2015-11-09,598.4,,,,16.1,,0.0,0.0
2015-11-10,599.25,,,,0.85,,0.0,0.0
2015-11-11,578.4,,,,20.85,,0.0,0.0
