Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2016-01-08,120.475,122.425,119.875,120.1,0.8,121.15,5308.0,20480.0
2016-01-11,120.1,120.75,119.375,120.075,0.375,119.6,2462.0,20460.0
2016-01-12,120.125,121.075,119.225,120.1,0.025,120.475,2990.0,20663.0
2016-01-13,120.275,120.925,119.225,119.725,0.15,120.425,2927.0,21355.0
2016-01-14,118.85,120.275,118.675,118.675,1.425,119.75,3160.0,21895.0
2016-01-15,116.325,117.9,115.85,116.3,2.525,117.85,4898.0,22121.0
2016-01-19,118.2,118.425,116.375,117.45,1.875,116.875,4521.0,22699.0
2016-01-20,116.55,117.575,115.4,116.875,1.65,116.8,5677.0,23374.0
2016-01-21,119.3,119.55,117.2,118.6,2.75,117.5,8055.0,23994.0
2016-01-22,120.15,120.8,119.0,120.725,0.85,119.3,7593.0,25043.0
2016-01-25,119.325,120.8,118.925,119.0,0.825,120.35,4708.0,26183.0
2016-01-26,119.7,120.225,118.725,119.225,0.375,119.05,5785.0,26844.0
2016-01-27,120.65,120.825,119.4,120.35,0.95,119.5,5721.0,27696.0
2016-01-28,120.4,121.05,120.125,120.7,0.25,120.375,3792.0,28762.0
2016-01-29,119.55,121.275,118.75,119.15,0.85,120.7,7098.0,29406.0
2016-02-01,120.6,120.725,118.925,120.725,1.05,120.0,7052.0,30168.0
2016-02-02,121.0,121.175,120.45,120.85,0.4,120.6,4241.0,30847.0
2016-02-03,121.225,121.975,120.85,121.475,0.225,120.9,5626.0,31525.0
2016-02-04,120.925,122.0,120.55,120.85,0.3,121.4,4946.0,31706.0
2016-02-05,120.625,121.1,119.875,120.15,0.3,120.55,8958.0,32076.0
2016-02-08,117.625,119.375,117.625,117.625,3.0,119.3,6574.0,31904.0
2016-02-09,117.6,118.475,117.225,118.225,0.025,117.5,9325.0,32611.0
2016-02-10,118.9,119.325,117.925,118.675,1.3,118.3,6813.0,33022.0
2016-02-11,116.825,117.925,115.9,116.875,2.075,117.85,10520.0,34153.0
2016-02-12,116.15,117.75,115.825,116.125,0.675,117.225,5176.0,34896.0
2016-02-16,118.55,118.95,115.625,118.925,2.4,116.375,7717.0,35074.0
2016-02-17,119.275,119.9,118.6,118.8,0.725,118.825,8236.0,35457.0
2016-02-18,119.475,120.0,118.775,119.425,0.2,119.275,5362.0,36755.0
2016-02-19,119.1,119.725,118.525,119.3,0.375,119.3,3498.0,37282.0
2016-02-22,119.625,120.525,119.05,119.45,0.525,119.15,4508.0,37856.0
2016-02-23,120.575,120.925,119.175,120.75,0.95,119.4,4907.0,38339.0
2016-02-24,121.325,121.55,120.075,121.1,0.75,120.425,4620.0,38325.0
2016-02-25,121.475,122.225,121.1,121.475,0.15,121.425,6623.0,38065.0
2016-02-26,121.375,121.825,121.0,121.45,0.1,121.475,6556.0,38656.0
2016-02-29,121.15,121.7,120.85,121.05,0.225,121.5,5572.0,39301.0
2016-03-01,121.45,121.575,120.15,121.55,0.3,120.8,5256.0,39986.0
2016-03-02,121.3,121.8,120.7,121.3,0.15,121.325,5293.0,40353.0
2016-03-03,121.175,121.5,120.55,121.2,0.125,121.25,7180.0,40865.0
2016-03-04,121.925,121.975,120.675,121.875,0.75,121.15,6702.0,41580.0
2016-03-07,121.425,121.975,120.575,121.375,0.5,121.4,7973.0,42484.0
2016-03-08,121.8,122.575,120.55,121.9,0.375,121.4,8688.0,42839.0
2016-03-09,121.7,122.075,121.4,121.9,0.1,121.85,6534.0,44778.0
2016-03-10,122.725,122.975,122.0,122.875,1.025,122.05,7687.0,45704.0
2016-03-11,123.2,124.6,122.875,123.15,0.475,122.9,12926.0,46320.0
2016-03-14,123.6,123.9,122.725,123.575,0.4,122.95,4958.0,48549.0
2016-03-15,124.625,124.95,123.55,124.475,1.025,123.6,9650.0,49340.0
2016-03-16,124.825,125.0,124.225,124.925,0.2,124.6,7332.0,50945.0
2016-03-17,124.825,125.35,124.4,124.75,,124.625,7298.0,51971.0
2016-03-18,123.325,124.7,122.825,122.9,1.5,124.55,6269.0,53845.0
2016-03-21,122.15,122.975,121.875,122.075,1.175,122.725,5743.0,54381.0
2016-03-22,120.825,122.175,119.85,120.8,1.325,121.3,9104.0,55117.0
2016-03-23,120.0,121.5,119.575,119.725,0.825,120.975,6643.0,54385.0
2016-03-24,120.825,120.95,119.35,120.825,0.825,119.875,11108.0,54143.0
2016-03-28,121.35,121.625,120.325,121.025,0.525,120.8,11386.0,55119.0
2016-03-29,121.325,122.1,120.6,121.2,0.025,121.35,9759.0,56799.0
2016-03-30,119.075,121.625,118.925,118.95,2.25,121.55,10780.0,56827.0
2016-03-31,120.175,120.725,118.275,120.25,1.1,118.925,12454.0,57034.0
2016-04-01,119.575,120.45,119.4,119.525,0.6,120.2,8519.0,57828.0
2016-04-04,119.6,120.7,119.25,119.275,0.025,120.0,5809.0,58530.0
2016-04-05,116.95,119.775,116.7,116.7,2.65,119.6,11945.0,58884.0
2016-04-06,117.675,118.675,117.025,117.375,0.725,117.275,8197.0,58481.0
2016-04-07,118.075,118.525,116.275,117.675,0.4,117.525,11135.0,58890.0
2016-04-08,119.575,119.9,118.675,119.575,1.5,118.675,8526.0,59421.0
2016-04-11,118.95,120.25,118.575,118.6,0.625,119.9,5540.0,59672.0
2016-04-12,118.475,119.525,118.05,118.425,0.475,118.975,6589.0,59373.0
2016-04-13,117.7,119.175,117.25,117.3,0.775,118.9,9651.0,59368.0
2016-04-14,117.4,118.375,117.0,117.375,0.3,117.725,5792.0,59316.0
2016-04-15,118.025,118.375,117.35,117.9,0.625,117.6,6119.0,59479.0
2016-04-18,115.475,117.95,115.025,115.45,2.55,117.95,12955.0,59430.0
2016-04-19,115.15,116.35,114.25,115.1,0.325,115.475,10028.0,59436.0
2016-04-20,114.425,115.7,114.125,114.225,0.725,115.2,10634.0,59534.0
2016-04-21,113.925,115.2,113.525,114.125,0.5,114.4,9508.0,60949.0
2016-04-22,111.55,114.15,110.925,111.35,2.375,113.95,13392.0,61763.0
2016-04-25,113.4,113.5,111.575,113.425,1.85,111.75,8272.0,61725.0
