Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2015-08-20,1162.9,1163.1,1162.9,1163.0,25.1,1163.1,4.0,156.0
2015-08-21,1168.8,1172.0,1159.2,1165.6,5.9,1171.0,12.0,157.0
2015-08-24,1162.1,,1161.5,1161.5,6.7,,0.0,156.0
2015-08-25,1146.9,1146.8,1143.0,1146.8,15.2,1144.1,6.0,156.0
2015-08-26,1132.8,,,,14.1,,2.0,156.0
2015-08-27,1131.0,,,,1.8,,0.0,156.0
2015-08-28,1142.2,1147.0,1133.6,1147.0,11.2,1133.6,3.0,156.0
2015-08-31,1140.7,1136.0,1136.0,1136.0,1.5,1136.0,1.0,158.0
2015-09-01,1147.6,,,,6.9,,0.0,157.0
2015-09-02,1141.3,,,,6.3,,0.0,157.0
2015-09-03,1131.8,1130.6,1130.1,1130.4,9.5,1130.6,7.0,157.0
2015-09-04,1128.8,,,,3.0,,0.0,158.0
2015-09-08,1128.2,1131.0,1131.0,1131.0,0.6,1131.0,1.0,158.0
2015-09-09,1109.0,,,,19.2,,0.0,158.0
2015-09-10,1116.3,,,,7.3,,0.0,157.0
2015-09-11,1110.4,,,,5.9,,0.0,158.0
2015-09-14,1114.7,,,,4.3,,0.0,157.0
2015-09-15,1109.6,,,,5.1,,0.0,157.0
2015-09-16,1126.1,1114.3,1114.3,1114.3,16.5,1114.3,1.0,158.0
2015-09-17,1124.3,,,,1.8,,0.0,158.0
2015-09-18,1144.3,,,,20.0,,0.0,158.0
2015-09-21,1139.4,,,,4.9,,0.0,158.0
2015-09-22,1131.2,,,,8.2,,0.0,158.0
2015-09-23,1137.9,,,,6.7,,0.0,158.0
2015-09-24,1160.0,,,,22.1,,0.0,158.0
2015-09-25,1151.9,,,,8.1,,0.0,158.0
2015-09-28,1138.0,,,,13.9,,0.0,158.0
2015-09-29,1133.0,,,,5.0,,0.0,158.0
2015-09-30,1121.1,,,,11.9,,0.0,158.0
2015-10-01,1119.6,,,,1.5,,0.0,158.0
2015-10-02,1141.9,,,,22.3,,0.0,158.0
2015-10-05,1143.0,1140.0,1140.0,1140.0,1.1,1140.0,1.0,158.0
2015-10-06,1151.7,,,,8.7,,0.0,158.0
2015-10-07,1154.0,1153.4,1153.4,1153.4,2.3,1153.4,1.0,158.0
2015-10-08,1149.6,,,,4.4,,0.0,157.0
2015-10-09,1161.6,1159.0,1159.0,1159.0,12.0,1159.0,51.0,157.0
2015-10-12,1170.3,1172.4,1172.4,1172.4,8.7,1172.4,81.0,169.0
2015-10-13,1171.1,,,,0.8,,40.0,246.0
2015-10-14,1185.1,,,,14.0,,0.0,246.0
2015-10-15,1192.7,1191.7,1191.7,1191.7,7.6,1191.7,2.0,246.0
2015-10-16,1188.5,1187.7,1186.0,1186.3,4.2,1186.0,43.0,248.0
2015-10-19,1178.2,1177.6,1177.6,1177.6,10.3,1177.6,1.0,289.0
2015-10-20,1182.8,1181.2,1181.2,1181.2,4.6,1181.2,1.0,289.0
2015-10-21,1172.2,1172.3,1171.3,1172.1,10.6,1171.3,29.0,290.0
2015-10-22,1171.1,1172.8,1171.0,1171.0,1.1,1171.7,23.0,318.0
2015-10-23,1167.9,1166.9,1166.7,1166.7,3.2,1166.9,13.0,338.0
2015-10-26,1171.4,,,,3.5,,0.0,325.0
2015-10-27,1170.9,,,,0.5,,0.0,325.0
2015-10-28,1181.5,,,,10.6,,148.0,325.0
2015-10-29,1152.9,,,,28.6,,0.0,340.0
2015-10-30,1147.0,,,,5.9,,0.0,340.0
2015-11-02,1141.6,,,,5.4,,0.0,340.0
2015-11-03,1119.8,1132.0,1132.0,1132.0,21.8,1132.0,1.0,340.0
2015-11-04,1112.0,1123.5,1123.5,1123.5,7.8,1123.5,1.0,340.0
2015-11-05,1110.2,,,,1.8,,0.0,340.0
2015-11-06,1094.3,1093.2,1093.1,1093.1,15.9,1093.2,2.0,340.0
2015-11-09,1094.8,,,,0.5,,0.0,338.0
2015-11-10,1095.0,,,,0.2,,0.0,338.0
2015-11-11,1091.0,1090.0,1090.0,1090.0,4.0,1090.0,1.0,338.0
2015-11-12,1087.0,,,,4.0,,0.0,339.0
2015-11-13,1087.0,,,,,,0.0,339.0
2015-11-16,1089.7,,,,2.7,,0.0,339.0
2015-11-17,1074.5,,,,15.2,,0.0,339.0
2015-11-18,1074.5,,,,,,0.0,339.0
2015-11-19,1083.6,,,,9.1,,0.0,339.0
2015-11-20,1081.8,,,,1.8,,0.0,339.0
2015-11-23,1072.2,,,,9.6,,5.0,339.0
2015-11-24,1079.0,1079.0,1079.0,1079.0,6.8,1079.0,9.0,339.0
2015-11-25,1075.6,,1075.3,1075.3,3.4,,28.0,348.0
2015-11-27,1062.0,1078.0,1077.5,1077.5,13.6,1078.0,4.0,348.0
2015-11-30,1071.4,,,,9.4,,0.0,348.0
2015-12-01,1069.5,,,,1.9,,0.0,361.0
2015-12-02,1059.8,,,,9.7,,0.0,361.0
2015-12-03,1067.4,,,,7.6,,0.0,363.0
2015-12-04,1090.2,,,,22.8,,0.0,363.0
2015-12-07,1081.2,,,,9.0,,3.0,363.0
2015-12-08,1081.3,,,,0.1,,4.0,360.0
2015-12-09,1082.4,1081.4,1078.5,1078.5,1.1,1078.5,1.0,364.0
2015-12-10,1077.8,,,,4.6,,0.0,364.0
2015-12-11,1081.4,1082.0,1080.1,1082.0,3.6,1081.1,4.0,364.0
2015-12-14,1069.0,1073.9,1069.0,1069.0,12.4,1073.9,4.0,366.0
2015-12-15,1067.3,,,,1.7,,3.0,368.0
2015-12-16,1082.8,1080.4,1066.5,1080.4,15.5,1066.5,5.0,368.0
2015-12-17,1055.6,1072.4,1055.2,1056.3,27.2,1072.4,5.0,372.0
2015-12-18,1071.0,1057.2,1056.5,1057.2,15.4,1056.5,2.0,371.0
2015-12-21,1086.8,1081.4,1079.3,1081.4,15.8,1079.3,3.0,371.0
2015-12-22,1080.3,1078.2,1078.2,1078.2,6.5,1078.2,1.0,371.0
2015-12-23,1074.3,1074.6,1074.6,1074.6,6.0,1074.6,16.0,372.0
2015-12-24,1082.0,,,,7.7,,0.0,372.0
2015-12-28,1074.2,1078.7,1073.1,1073.1,7.8,1078.7,3.0,372.0
2015-12-29,1074.0,,,,0.2,,0.0,373.0
2015-12-30,1065.7,1065.5,1065.5,1065.5,8.3,1065.5,1.0,373.0
2015-12-31,1065.9,1066.6,1066.5,1066.6,0.2,1066.5,3.0,373.0
2016-01-04,1080.8,1086.0,1086.0,1086.0,14.9,1086.0,1.0,373.0
2016-01-05,1083.9,1083.4,1081.5,1083.4,3.1,1081.7,3.0,373.0
2016-01-06,1097.4,1099.9,1082.6,1099.9,13.5,1082.6,4.0,376.0
2016-01-07,1113.1,1114.9,1100.1,1114.3,15.7,1104.8,69.0,375.0
2016-01-08,1103.0,1115.0,1105.5,1105.5,10.1,1115.0,124.0,389.0
2016-01-11,1100.6,1113.0,1098.9,1098.9,2.4,1112.2,84.0,417.0
2016-01-12,1089.2,1102.0,1092.0,1092.0,11.4,1100.1,12.0,413.0
2016-01-13,1091.2,1091.2,1088.9,1091.2,2.0,1088.9,6.0,406.0
2016-01-14,1077.1,1091.0,1076.6,1076.6,14.1,1090.1,36.0,411.0
2016-01-15,1093.8,1093.4,1080.7,1093.4,16.7,1082.0,56.0,414.0
2016-01-19,1092.1,1094.3,1087.1,1090.7,1.7,1094.3,54.0,416.0
2016-01-20,1108.9,1111.9,1091.3,1110.5,16.8,1091.5,71.0,422.0
2016-01-21,1100.7,1103.2,1102.5,1102.8,8.2,1102.7,95.0,452.0
2016-01-22,1099.3,,,,1.4,,52.0,463.0
2016-01-25,1109.1,1112.3,1112.3,1112.3,9.8,1112.3,5.0,500.0
2016-01-26,1124.0,1126.3,1111.8,1126.0,14.9,1111.8,43.0,496.0
2016-01-27,1120.0,1126.0,1119.9,1126.0,4.0,1121.6,36.0,537.0
2016-01-28,1119.6,1125.0,1116.5,1117.7,0.4,1125.0,6.0,820.0
2016-01-29,1119.4,1120.4,1120.4,1120.4,0.2,1120.4,104.0,1005.0
2016-02-01,1131.0,1130.4,1124.1,1129.6,11.6,1124.1,19.0,985.0
2016-02-02,1130.0,,1130.1,1130.1,1.0,,0.0,986.0
