Date,Settle,High,Low,Open,Volume,Prev. Day Open Interest
2016-05-31,24.7,24.95,24.35,24.4,1188.0,11308.0
2016-06-01,25.05,25.3,24.8,24.8,1967.0,12048.0
2016-06-02,25.0,25.1,24.8,25.05,471.0,12202.0
2016-06-03,25.25,25.3,24.75,24.85,671.0,11804.0
2016-06-06,25.1,25.2,24.95,24.95,417.0,11832.0
2016-06-07,24.7,24.85,24.6,24.6,1053.0,11469.0
2016-06-08,25.0,25.05,24.85,24.95,646.0,11497.0
2016-06-09,25.65,25.7,25.2,25.2,1680.0,10880.0
2016-06-10,26.15,26.7,25.9,25.95,3087.0,11699.0
2016-06-13,26.8,28.1,26.5,26.95,2273.0,12857.0
2016-06-14,28.1,28.8,27.35,28.8,1981.0,12897.0
2016-06-15,27.7,27.85,27.3,27.4,3836.0,13279.0
2016-06-16,27.6,28.15,27.1,27.85,4251.0,13738.0
2016-06-17,26.85,27.25,26.6,27.2,2498.0,15026.0
2016-06-20,25.45,25.8,25.1,25.55,3395.0,14673.0
2016-06-21,25.0,25.4,24.9,25.3,4348.0,15950.0
2016-06-22,24.4,25.15,24.35,25.15,4481.0,15771.0
2016-06-23,24.05,24.6,23.65,24.4,7777.0,17335.0
2016-06-24,26.4,29.15,25.2,28.2,8559.0,20631.0
2016-06-27,27.6,27.9,26.45,26.95,4109.0,22509.0
2016-06-28,26.6,26.95,25.95,26.8,4985.0,20813.0
2016-06-29,25.5,25.7,25.25,25.4,2578.0,22584.0
2016-06-30,25.6,25.9,25.15,25.65,5711.0,22712.0
2016-07-01,25.9,26.25,25.45,25.45,4973.0,23942.0
2016-07-04,26.0,26.3,25.65,25.8,3471.0,25494.0
2016-07-05,26.4,26.75,26.25,26.25,2073.0,23649.0
2016-07-06,26.9,27.3,26.35,26.6,2853.0,22577.0
2016-07-07,26.5,26.85,26.1,26.4,8502.0,23335.0
2016-07-08,25.75,26.45,25.7,26.45,3118.0,27790.0
2016-07-11,25.0,25.6,24.95,25.6,2427.0,23812.0
2016-07-12,24.25,24.9,24.05,24.9,6474.0,23841.0
2016-07-13,24.45,24.65,24.15,24.6,4068.0,27920.0
2016-07-14,24.1,24.6,24.0,24.1,1266.0,25775.0
2016-07-15,24.15,24.55,24.1,24.25,1658.0,25366.0
2016-07-18,24.4,24.5,23.95,24.0,3666.0,25867.0
2016-07-19,24.45,25.1,24.45,24.6,4061.0,27904.0
2016-07-20,24.35,24.45,24.1,24.3,4227.0,28483.0
2016-07-21,23.95,24.7,23.9,24.05,9659.0,30517.0
2016-07-22,24.05,24.35,23.95,24.35,3340.0,34350.0
2016-07-25,24.2,24.35,23.85,24.15,2667.0,34442.0
2016-07-26,24.3,24.65,24.1,24.1,4694.0,34802.0
2016-07-27,24.45,24.5,23.8,23.85,3766.0,36311.0
2016-07-28,24.45,24.5,24.1,24.25,2433.0,36683.0
2016-07-29,24.05,24.55,23.85,24.4,5813.0,37368.0
2016-08-01,23.75,24.05,23.5,23.75,8340.0,39280.0
2016-08-02,24.65,24.9,23.9,23.95,7168.0,42081.0
2016-08-03,24.45,24.95,24.3,24.65,6095.0,40777.0
2016-08-04,23.85,24.4,23.55,24.35,13189.0,42641.0
2016-08-05,22.65,23.65,22.5,23.55,12647.0,50958.0
2016-08-08,22.15,22.7,22.05,22.7,9139.0,55219.0
2016-08-09,21.4,22.1,21.25,21.95,8202.0,56559.0
2016-08-10,22.15,22.2,21.25,21.45,10576.0,59042.0
2016-08-11,21.8,22.15,21.75,21.9,8911.0,62873.0
2016-08-12,21.8,22.05,21.65,22.05,10414.0,63498.0
2016-08-15,21.8,21.85,21.25,21.85,15948.0,69022.0
2016-08-16,22.55,22.7,21.9,21.9,21736.0,77498.0
2016-08-17,23.05,23.1,22.35,22.35,10830.0,87258.0
2016-08-18,22.55,22.75,22.45,22.55,11188.0,81918.0
2016-08-19,22.9,23.0,22.5,22.5,10694.0,82475.0
2016-08-22,22.95,23.15,22.35,23.0,6084.0,77823.0
2016-08-23,22.25,22.9,22.2,22.7,9819.0,73702.0
2016-08-24,22.1,22.7,21.95,22.7,7753.0,77099.0
2016-08-25,22.4,22.7,22.05,22.35,7086.0,74393.0
2016-08-26,21.6,22.6,21.55,22.25,10505.0,71892.0
