Date,Settle,Interest,High,Low,Volume,Open
2016-03-31,4255.5,,0,0,0,0
2016-04-01,4192,,4141,4141,1,4141
2016-04-04,4215.5,1,0,0,0,0
2016-04-05,4119,1,0,0,0,0
2016-04-06,4153.5,1,0,0,0,0
2016-04-07,4115,1,0,0,0,0
2016-04-08,4172.5,1,0,0,0,0
2016-04-11,4182.5,1,0,0,0,0
2016-04-12,4215.5,1,4159,4157.5,5,4157.5
2016-04-13,4360,5,0,0,0,0
2016-04-14,4381.5,5,0,0,0,0
2016-04-15,4365,5,0,0,0,0
2016-04-18,4376.5,5,0,0,0,0
2016-04-19,4440.5,5,0,0,0,0
2016-04-20,4466,5,0,0,0,0
2016-04-21,4456,5,0,0,0,0
2016-04-22,4445,5,0,0,0,0
2016-04-25,4422,5,0,0,0,0
2016-04-26,4418,5,0,0,0,0
2016-04-27,4445,5,0,0,0,0
2016-04-28,4443,5,0,0,0,0
2016-04-29,4317.5,5,0,0,0,0
2016-05-02,4335.5,5,0,0,0,0
2016-05-03,4265.5,5,0,0,0,0
2016-05-04,4219.5,5,4221,4221,1,4221
2016-05-05,4227,6,0,0,0,0
2016-05-06,4218.5,6,0,0,0,0
2016-05-09,4239.5,6,4269.5,4263,4,4263
2016-05-10,4271,8,0,0,0,0
2016-05-11,4249.5,8,0,0,0,0
2016-05-12,4227.5,8,0,0,0,0
2016-05-13,4257,8,0,0,0,0
2016-05-16,4249,8,0,0,0,0
2016-05-17,4240,8,0,0,0,0
2016-05-18,4262.5,8,0,0,0,0
2016-05-19,4224.5,8,0,0,0,0
2016-05-20,4295.5,8,0,0,0,0
2016-05-23,4273.5,8,0,0,0,0
2016-05-24,4381.5,8,0,0,0,0
2016-05-25,4437.5,8,0,0,0,0
2016-05-26,4469.5,8,4463.5,4463.5,10,4463.5
2016-05-27,4475,18,4466,4462.5,7,4462.5
2016-05-30,4491.5,23,0,0,0,0
2016-05-31,4470,23,4485.5,4485.5,1,4485.5
2016-06-01,4440,24,0,0,0,0
2016-06-02,4440.5,24,0,0,0,0
2016-06-03,4397.5,24,0,0,0,0
2016-06-06,4407.5,24,4419,4408,320,4419
2016-06-07,4460,329,4464.5,4452.5,175,4461
2016-06-08,4432.5,475,4446.5,4430.5,1602,4446
2016-06-09,4389,800,4406,4380,814,4394.5
2016-06-10,4290,2303,4364.5,4282,353,4364
2016-06-13,4211.5,2629,4257.5,4200,1866,4236
2016-06-14,4114.5,4329,4177.5,4112.5,2458,4165
2016-06-15,4156.5,6366,4183.5,4129,1677,4129
2016-06-16,4137,7757,4185,4096,531,4101.5
2016-06-17,4181,7639,4218.5,4156.5,318,4156.5
2016-06-20,4329.5,7846,4334,4285,600,4309.5
2016-06-21,4359.5,7632,4395.5,4315,678,4338.5
2016-06-22,4371.5,7573,4408.5,4359.5,1147,4394.5
2016-06-23,4458.5,8535,4500,4404,150,4404
2016-06-24,4097,8487,4189,3923,861,4110
2016-06-27,3977,9033,4101.5,3953,460,4087
2016-06-28,4080,9109,4110,4037,1027,4038
2016-06-29,4188,9477,4195,4118.5,319,4121.5
2016-06-30,4230.5,9232,4274.5,4157,486,4178
2016-07-01,4266.5,9352,4277.5,4222,131,4252
2016-07-04,4230,9123,4282,4227,408,4264.5
2016-07-05,4158,9366,4221,4130,463,4219
2016-07-06,4081,9456,4148.5,4071.5,766,4148.5
2016-07-07,4113,9730,4156.5,4092.5,314,4114.5
2016-07-08,4186.5,9803,4205,4095.5,475,4112.5
2016-07-11,4261.5,9499,4267,4187.5,363,4187.5
2016-07-12,4328,9595,4337.5,4250.5,348,4252
2016-07-13,4332.5,9811,4355,4316,386,4319.5
2016-07-14,4382.5,9909,4397.5,4342,256,4342
2016-07-15,4371,9905,4379,4343,450,4371
2016-07-18,4355.5,10217,4406,4337.5,241,4377.5
2016-07-19,4328,10250,4352,4306.5,462,4343.5
2016-07-20,4377,10157,4389.5,4341.5,698,4350
2016-07-21,4373.5,9937,4386,4338,300,4384
2016-07-22,4378.5,9759,4395.5,4345,472,4362
2016-07-25,4385,9611,4412.5,4366.5,276,4375
2016-07-26,4393,9463,4404.5,4353,599,4391
2016-07-27,4445,9564,4468.5,4399.5,431,4399.5
2016-07-28,4420,9489,4473,4417,251,4439
2016-07-29,4438.5,9444,4455,4409,1063,4452
2016-08-01,4407.5,9677,4443,4383.5,3546,4441
2016-08-02,4326,10380,4402,4314.5,1446,4402
2016-08-03,4319.5,11460,4340.5,4291.5,3607,4324.5
2016-08-04,4343.5,13075,4359.5,4324.5,481,4341
2016-08-05,4409,13096,4410.5,4356,399,4356
2016-08-08,4414,13056,4438.5,4406,263,4416.5
2016-08-09,4467,12997,4466.5,4406,7538,4407
2016-08-10,4451,18519,4464,4439,1087,4450
2016-08-11,4502.5,18459,4505.5,4445,707,4451.5
2016-08-12,4499,18696,4510,4489.5,14963,4500.5
2016-08-15,4496.5,31687,4527,4493.5,37460,4503.5
2016-08-16,4460.5,56668,4500,4455.5,158869,4483
2016-08-17,4417.5,165888,4481,4414.5,139262,4461
2016-08-18,4436.5,248993,4452.5,4412.5,64290,4448
2016-08-19,4399.5,265481,4442.5,4373,77385,4441
2016-08-22,4388.5,276660,4443.5,4375,77126,4394
2016-08-23,4421,277815,4436.5,4399,57264,4403.5
2016-08-24,4435,261775,4454.5,4380.5,69947,4403.5
2016-08-25,4406,268861,4435.5,4376,77689,4435
2016-08-26,4441.5,274758,4457,4384.5,76171,4399
